iid,pid,match,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
1,11,0,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,12,0,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,13,1,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,14,1,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,15,1,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,16,0,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,17,0,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,18,0,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,19,1,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,20,0,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
2,11,0,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,12,0,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,13,0,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,14,1,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,15,0,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,16,0,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,17,0,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,18,0,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,19,1,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
2,20,0,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
3,11,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,12,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,13,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,14,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,15,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,16,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
3,17,0,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
